Trial,Strategy,Threshold_Dist,Step,Adoption_Fraction,Final_Fraction,TimeToConverge
1,Betweenness,Uniform,7,0.4125,0.4285,15
1,Betweenness,Uniform,8,0.4155,0.4285,15
1,Betweenness,Uniform,9,0.4195,0.4285,15
1,Betweenness,Uniform,10,0.4225,0.4285,15
1,Betweenness,Uniform,11,0.4255,0.4285,15
1,Betweenness,Uniform,12,0.426,0.4285,15
1,Betweenness,Uniform,13,0.4265,0.4285,15
1,Betweenness,Uniform,14,0.428,0.4285,15
1,Betweenness,Uniform,15,0.4285,0.4285,15
1,Betweenness,Uniform,16,0.4285,0.4285,15
1,Betweenness,Uniform,17,0.4285,0.4285,15
1,Betweenness,Uniform,18,0.4285,0.4285,15
1,Betweenness,Uniform,19,0.4285,0.4285,15
1,Betweenness,Uniform,20,0.4285,0.4285,15
1,Betweenness,Uniform,21,0.4285,0.4285,15
1,Betweenness,Uniform,22,0.4285,0.4285,15
1,Betweenness,Uniform,23,0.4285,0.4285,15
1,Betweenness,Uniform,24,0.4285,0.4285,15
1,Betweenness,Uniform,25,0.4285,0.4285,15
1,Betweenness,Uniform,26,0.4285,0.4285,15
1,Betweenness,Uniform,27,0.4285,0.4285,15
1,Betweenness,Uniform,28,0.4285,0.4285,15
1,Betweenness,Uniform,29,0.4285,0.4285,15
1,Betweenness,Uniform,30,0.4285,0.4285,15
1,Betweenness,Uniform,31,0.4285,0.4285,15
1,Betweenness,Uniform,32,0.4285,0.4285,15
1,Betweenness,Uniform,33,0.4285,0.4285,15
1,Betweenness,Uniform,34,0.4285,0.4285,15
1,Betweenness,Uniform,35,0.4285,0.4285,15
1,Betweenness,Uniform,36,0.4285,0.4285,15
1,Betweenness,Uniform,37,0.4285,0.4285,15
1,Betweenness,Uniform,38,0.4285,0.4285,15
1,Betweenness,Uniform,39,0.4285,0.4285,15
1,Betweenness,Uniform,40,0.4285,0.4285,15
1,Betweenness,Uniform,41,0.4285,0.4285,15
1,Betweenness,Uniform,42,0.4285,0.4285,15
1,Betweenness,Uniform,43,0.4285,0.4285,15
1,Betweenness,Uniform,44,0.4285,0.4285,15
1,Betweenness,Uniform,45,0.4285,0.4285,15
1,Betweenness,Uniform,46,0.4285,0.4285,15
1,Betweenness,Uniform,47,0.4285,0.4285,15
1,Betweenness,Uniform,48,0.4285,0.4285,15
1,Betweenness,Uniform,49,0.4285,0.4285,15
2,Random,Uniform,0,0.01,0.0515,7
2,Random,Uniform,1,0.021,0.0515,7
2,Random,Uniform,2,0.024,0.0515,7
2,Random,Uniform,3,0.032,0.0515,7
2,Random,Uniform,4,0.0435,0.0515,7
2,Random,Uniform,5,0.049,0.0515,7
2,Random,Uniform,6,0.0505,0.0515,7
2,Random,Uniform,7,0.0515,0.0515,7
2,Random,Uniform,8,0.0515,0.0515,7
2,Random,Uniform,9,0.0515,0.0515,7
2,Random,Uniform,10,0.0515,0.0515,7
2,Random,Uniform,11,0.0515,0.0515,7
2,Random,Uniform,12,0.0515,0.0515,7
2,Random,Uniform,13,0.0515,0.0515,7
2,Random,Uniform,14,0.0515,0.0515,7
2,Random,Uniform,15,0.0515,0.0515,7
2,Random,Uniform,16,0.0515,0.0515,7
2,Random,Uniform,17,0.0515,0.0515,7
2,Random,Uniform,18,0.0515,0.0515,7
2,Random,Uniform,19,0.0515,0.0515,7
2,Random,Uniform,20,0.0515,0.0515,7
